========================================================================
TOKENIZATION OUTPUT — NLP PREPROCESSING PIPELINE
========================================================================

Total sentences : 4,962
Total tokens    : 130,002
[S00048] [POSITIVE]  The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .
[S00049] [POSITIVE]  The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .
[S00050] [POSITIVE]  The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .
[S00051] [POSITIVE]  The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .
[S00052] [POSITIVE]  Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .
[S00053] [POSITIVE]  Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .
[S00054] [POSITIVE]  Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .
[S00055] [POSITIVE]  Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .
[S00056] [POSITIVE]  In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .
[S00057] [POSITIVE]  Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .
[S00058] [NEUTRAL ]  At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .
[S00059] [NEUTRAL ]  In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .
[S00060] [NEUTRAL ]  The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .
[S00061] [NEUTRAL ]  When this investment is in place , Atria plans to expand into the Moscow market .
[S00062] [NEUTRAL ]  `` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .
[S00063] [POSITIVE]  At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .
[S00064] [NEUTRAL ]  In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .
[S00065] [POSITIVE]  KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .
[S00066] [POSITIVE]  Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .
[S00067] [NEUTRAL ]  STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .
[S00068] [POSITIVE]  The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .
[S00069] [NEUTRAL ]  The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .
[S00070] [POSITIVE]  The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .
[S00071] [NEUTRAL ]  - So , the sales growth of cars considerably influence on the tires market '' .
[S00072] [NEUTRAL ]  A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .
[S00073] [NEUTRAL ]  As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .
[S00074] [NEUTRAL ]  Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .
[S00075] [NEUTRAL ]  On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .
[S00076] [NEUTRAL ]  Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .
[S00077] [POSITIVE]  Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .
[S00078] [NEUTRAL ]  TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .
[S00079] [POSITIVE]  TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .
[S00080] [NEUTRAL ]  The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .
[S00081] [NEUTRAL ]  The fuel purchase contracts have been signed with three months ' delivery from this September to November .
[S00082] [NEUTRAL ]  Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .
[S00083] [POSITIVE]  Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .
[S00084] [POSITIVE]  The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .
[S00085] [NEUTRAL ]  No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .
[S00086] [POSITIVE]  The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .
[S00087] [POSITIVE]  The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .
[S00088] [POSITIVE]  In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .
[S00089] [POSITIVE]  Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .
[S00090] [POSITIVE]  `` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .
[S00091] [POSITIVE]  `` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .
[S00092] [POSITIVE]  4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .
[S00093] [POSITIVE]  Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .
[S00094] [POSITIVE]  Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .
[S00095] [POSITIVE]  Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .
[S00096] [POSITIVE]  Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .
[S00097] [POSITIVE]  Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .
[S00098] [POSITIVE]  An individual promotion also generated slightly higher-than-expected revenues .
[S00099] [POSITIVE]  Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .
[S00100] [POSITIVE]  Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .
[S00101] [POSITIVE]  Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .
[S00102] [POSITIVE]  Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .
[S00103] [POSITIVE]  Construction volumes meanwhile grow at a rate of 10-15 percent annually .
[S00104] [POSITIVE]  Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .
[S00105] [POSITIVE]  However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .
[S00106] [POSITIVE]  In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .
[S00107] [POSITIVE]  In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .
[S00108] [POSITIVE]  In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .
[S00109] [POSITIVE]  International sales rose by 59.8 % to EUR 1,244.4 mn .
[S00110] [NEUTRAL ]  Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .
[S00111] [POSITIVE]  Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .
[S00112] [POSITIVE]  Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .
[S00113] [POSITIVE]  Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .
[S00114] [POSITIVE]  Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .
[S00115] [POSITIVE]  Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .
[S00116] [POSITIVE]  Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .
[S00117] [POSITIVE]  Operating profit margin increased from 11.2 % to 11.7 % .
[S00118] [POSITIVE]  Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .
[S00119] [POSITIVE]  Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .
[S00120] [POSITIVE]  Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .
[S00121] [POSITIVE]  Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .
[S00122] [POSITIVE]  Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .
[S00123] [POSITIVE]  Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .
[S00124] [POSITIVE]  Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .
[S00125] [POSITIVE]  Sanoma Magazines ' net sales are estimated to grow in 2006 .
[S00126] [POSITIVE]  The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .
[S00127] [POSITIVE]  The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .
[S00128] [POSITIVE]  The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .
[S00129] [POSITIVE]  The Department Store Division reported an increase in sales of 4 per cent .
[S00130] [POSITIVE]  The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .
[S00131] [POSITIVE]  The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .
[S00132] [POSITIVE]  The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .
[S00133] [POSITIVE]  The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .
[S00134] [POSITIVE]  - Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .
[S00135] [POSITIVE]  `` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .
[S00136] [POSITIVE]  `` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .
[S00137] [POSITIVE]  `` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . ''
[S00138] [POSITIVE]  21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .
[S00139] [NEUTRAL ]  A structures BIM ( building information modeling ) software from Tekla , a model-based software provider , has been adopted for the construction management and delivery of a university project in Abu Dhabi .
[S00140] [POSITIVE]  According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .
[S00141] [POSITIVE]  Finnish Aldata Solution has signed a contract of supply its G.O.L.D.
[S00142] system to two French retail chains .
[S00143] [POSITIVE]  Finnish Bank of +_land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .
[S00144] [POSITIVE]  Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .
[S00145] [POSITIVE]  Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .
[S00146] [POSITIVE]  Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .
[S00147] [POSITIVE]  Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .
[S00148] [POSITIVE]  Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .
[S00149] [POSITIVE]  Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .
[S00150] [POSITIVE]  South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .
[S00151] [POSITIVE]  According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .
[S00152] [POSITIVE]  According to HKScan Finland , the plan is to increase J+Ærvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .
[S00153] [POSITIVE]  Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .
[S00154] [POSITIVE]  After the takeover , Cramo will become the second largest rental services provider in the Latvian market .
[S00155] [POSITIVE]  Again , the most significant sales increase of 18.6 % was in Russia .
[S00156] [POSITIVE]  Alma Media expects its net sales to increase as forecast previously .
[S00157] [POSITIVE]  Also Lemmink+Æinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .
[S00158] [POSITIVE]  At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .
[S00159] [POSITIVE]  At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .
[S00160] [NEUTRAL ]  Aviation Systems Maintenance is based in Kansas and generated net sales of USD 2.6 million for 2008 .
[S00161] [POSITIVE]  Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .
[S00162] [POSITIVE]  Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .
[S00163] [POSITIVE]  Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .
[S00164] [POSITIVE]  Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .
[S00165] [POSITIVE]  Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .
[S00166] [POSITIVE]  Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .
[S00167] [POSITIVE]  Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .
[S00168] [POSITIVE]  Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .
[S00169] [POSITIVE]  Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .
[S00170] [POSITIVE]  Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .
[S00171] [POSITIVE]  Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .
[S00172] [POSITIVE]  Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .
[S00173] [POSITIVE]  Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .
[S00174] [POSITIVE]  Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .
[S00175] [POSITIVE]  Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .
[S00176] [POSITIVE]  Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .
[S00177] [POSITIVE]  Cargo volume grew by 7 % .
[S00178] [POSITIVE]  Cargo volume increased by approximately 5 % .
[S00179] [POSITIVE]  comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .
[S00180] [POSITIVE]  Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .
[S00181] [POSITIVE]  Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .
[S00182] [POSITIVE]  Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .
[S00183] [POSITIVE]  Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .
[S00184] [POSITIVE]  Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .
[S00185] [POSITIVE]  Diluted EPS rose to EUR3 .68 from EUR0 .50 .
[S00186] [POSITIVE]  EBIT margin was up from 1.4 % to 5.1 % .
[S00187] [NEUTRAL ]  Editor 's note : Grimaldi generated a 1.7 bln euro ( $ 2.182 bln ) turnover in 2005 , ANSA reported on May 29 , 2006 .
[S00188] [POSITIVE]  EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .
[S00189] [POSITIVE]  EPS from continuing operations came in at 0.30 eur , up from 0.17 .
