========================================================================
VOCABULARY OUTPUT — NLP PREPROCESSING PIPELINE
========================================================================

Total tokens (running words) : 97,302
Raw vocabulary (types)       : 8,686
Lemma vocabulary (types)     : 7,292
Type–Token Ratio (TTR)       : 0.0893
Reduction after lemmatisation: 1,394 forms

────────────────────────────────────────────────────────────────────────
VOCABULARY — FREQUENCY RANKED (raw tokens)
────────────────────────────────────────────────────────────────────────
Rank  Word                             Count   Cumul.%
187   between                             59    59.58%
188   however                             59    59.64%
189   october                             59    59.70%
190   through                             59    59.76%
191   product                             58    59.82%
192   fell                                58    59.88%
193   half                                58    59.94%
194   engineering                         58    60.00%
195   he                                  58    60.06%
196   january                             57    60.12%
197   steel                               57    60.18%
198   stake                               57    60.23%
199   solution                            57    60.29%
200   nordic                              56    60.35%
201   world                               56    60.41%
202   these                               56    60.47%
203   includes                            56    60.52%
204   oil                                 55    60.58%
205   release                             55    60.64%
206   supply                              55    60.69%
207   march                               54    60.75%
208   design                              54    60.80%
209   energy                              54    60.86%
210   no                                  53    60.91%
211   reported                            53    60.97%
212   largest                             53    61.02%
213   subsidiary                          53    61.08%
214   out                                 53    61.13%
215   they                                53    61.19%
216   further                             52    61.24%
217   estimated                           52    61.29%
218   transaction                         52    61.35%
219   electronics                         52    61.40%
220   start                               52    61.45%
221   rights                              52    61.51%
222   office                              51    61.56%
223   totalled                            51    61.61%
224   china                               51    61.66%
225   capacity                            50    61.72%
226   years                               50    61.77%
227   earnings                            50    61.82%
228   made                                50    61.87%
229   manufacturer                        50    61.92%
230   sweden                              50    61.97%
231   says                                50    62.02%
232   time                                50    62.07%
233   include                             50    62.13%
234   ltd                                 49    62.18%
235   expects                             49    62.23%
236   cash                                49    62.28%
237   sector                              49    62.33%
238   facility                            48    62.38%
239   totaled                             48    62.43%
240   president                           48    62.48%
241   sale                                48    62.52%
242   industrial                          48    62.57%
243   negotiations                        48    62.62%
244   revenue                             47    62.67%
245   swedish                             47    62.72%
246   machinery                           47    62.77%
247   power                               47    62.82%
248   nordea                              46    62.86%
249   units                               46    62.91%
250   food                                46    62.96%
251   international                       45    63.00%
252   basware                             45    63.05%
253   february                            45    63.10%
254   eps                                 45    63.14%
255   baltic                              45    63.19%
256   when                                45    63.24%
257   april                               45    63.28%
258   august                              45    63.33%
259   local                               45    63.37%
260   such                                45    63.42%
261   director                            44    63.47%
262   europe                              44    63.51%
263   nine                                44    63.56%
264   sell                                44    63.60%
265   networks                            43    63.65%
266   ruukki                              43    63.69%
267   stora                               42    63.73%
268   retail                              42    63.78%
269   division                            42    63.82%
270   provider                            42    63.86%
271   available                           42    63.91%
272   orders                              42    63.95%
273   addition                            42    63.99%
274   process                             41    64.03%
275   developed                           41    64.08%
276   communications                      41    64.12%
277   projects                            41    64.16%
278   completed                           41    64.20%
279   plans                               40    64.24%
280   elcoteq                             40    64.29%
281   russian                             40    64.33%
282   phone                               40    64.37%
283   significant                         40    64.41%
284   awarded                             40    64.45%
285   lower                               40    64.49%
286   around                              40    64.53%
287   strategy                            39    64.57%
288   enso                                39    64.61%
289   directors                           39    64.65%
290   agreed                              39    64.69%
291   due                                 39    64.73%
292   already                             39    64.77%
293   acquired                            39    64.81%
294   option                              39    64.85%
295   june                                39    64.89%
296   november                            39    64.93%
297   turnover                            39    64.97%
298   supplier                            39    65.01%
299   yit                                 39    65.05%
300   following                           39    65.09%
301   shareholders                        39    65.13%
302   center                              39    65.17%
303   three                               38    65.21%
304   personnel                           38    65.25%
305   customer                            38    65.29%
306   distribution                        38    65.33%
307   since                               38    65.37%
308   capman                              38    65.41%
309   currently                           38    65.45%
310   his                                 38    65.49%
311   range                               37    65.52%
312   offer                               37    65.56%
313   amounted                            37    65.60%
314   security                            37    65.64%
315   provide                             37    65.68%
316   continue                            37    65.71%
317   leading                             37    65.75%
318   general                             37    65.79%
319   chain                               36    65.83%
320   insurance                           36    65.86%
321   handling                            36    65.90%
322   prices                              36    65.94%
323   high                                36    65.98%
324   previously                          36    66.01%
325   make                                36    66.05%
326   mill                                36    66.09%
327   off                                 35    66.12%
328   fiskars                             35    66.16%
329   alma                                35    66.19%
330   program                             35    66.23%
331   issue                               35    66.27%
332   real                                35    66.30%
333   position                            35    66.34%
334   next                                35    66.37%
335   added                               35    66.41%
336   won                                 35    66.45%
337   costs                               35    66.48%
338   performance                         35    66.52%
339   teliasonera                         34    66.55%
340   estate                              34    66.59%
341   grew                                34    66.62%
342   north                               34    66.66%
343   major                               34    66.69%
344   support                             34    66.73%
345   trade                               34    66.76%
346   target                              34    66.80%
347   related                             34    66.83%
348   used                                34    66.87%
349   internet                            34    66.90%
350   where                               33    66.94%
351   credit                              33    66.97%
352   reports                             33    67.00%
353   petersburg                          33    67.04%
354   volume                              33    67.07%
355   friday                              33    67.11%
356   july                                33    67.14%
357   maintenance                         33    67.17%
358   press                               33    67.21%
359   set                                 33    67.24%
360   started                             33    67.28%
361   provides                            33    67.31%
362   staff                               33    67.34%
363   meeting                             33    67.38%
364   situation                           33    67.41%
365   purchase                            32    67.44%
366   results                             32    67.48%
367   america                             32    67.51%
368   current                             32    67.54%
369   cent                                32    67.58%
370   metso                               32    67.61%
371   firm                                32    67.64%
372   region                              32    67.67%
373   via                                 32    67.71%
374   several                             32    67.74%
375   sampo                               32    67.77%
376   headquartered                       32    67.81%
377   city                                32    67.84%
378   chairman                            32    67.87%
379   terms                               32    67.90%
380   cost                                32    67.94%
381   voting                              32    67.97%
382   own                                 32    68.00%
383   dividend                            31    68.03%
384   december                            31    68.07%
385   traffic                             31    68.10%
386   plan                                31    68.13%
387   measures                            31    68.16%
388   focus                               31    68.19%
389   fourth                              31    68.23%
390   delivered                           31    68.26%
391   forest                              31    68.29%
392   finnair                             31    68.32%
393   there                               31    68.35%
394   plants                              31    68.39%
395   joint                               31    68.42%
396   cooperation                         31    68.45%
397   pulp                                31    68.48%
398   items                               31    68.51%
399   work                                31    68.54%
400   built                               30    68.58%
401   pretax                              30    68.61%
402   aspo                                30    68.64%
403   research                            30    68.67%
404   applications                        30    68.70%
405   place                               30    68.73%
406   sold                                30    68.76%
407   estonia                             30    68.79%
408   day                                 30    68.82%
409   areas                               30    68.85%
410   amount                              30    68.88%
411   processing                          30    68.91%
412   buy                                 30    68.95%
413   sports                              30    68.98%
414   taxes                               30    69.01%
415   savings                             30    69.04%
416   very                                30    69.07%
417   four                                29    69.10%
418   delivery                            29    69.13%
419   sanoma                              29    69.16%
420   investments                         29    69.19%
421   future                              29    69.22%
422   kemira                              29    69.25%
423   marketing                           29    69.28%
424   being                               29    69.31%
425   received                            29    69.34%
426   posted                              29    69.37%
427   deliver                             29    69.40%
428   devices                             29    69.43%
429   central                             29    69.46%
430   worth                               29    69.49%
431   ab                                  29    69.52%
432   corporate                           29    69.55%
433   strong                              29    69.58%
434   take                                29    69.60%
435   issued                              29    69.63%
436   water                               29    69.66%
437   demand                              28    69.69%
438   margin                              28    69.72%
439   income                              28    69.75%
440   teleste                             28    69.78%
441   online                              28    69.81%
442   commercial                          28    69.84%
443   store                               28    69.87%
444   previous                            28    69.89%
445   expand                              28    69.92%
446   contracts                           28    69.95%
447   only                                28    69.98%
448   whole                               28    70.01%
449   level                               28    70.04%
450   stockmann                           28    70.07%
451   developer                           28    70.10%
452   adp                                 28    70.12%
453   european                            28    70.15%
454   decided                             28    70.18%
455   cargotec                            28    70.21%
456   poyry                               28    70.24%
457   brand                               28    70.27%
458   materials                           27    70.30%
459   offering                            27    70.32%
460   neste                               27    70.35%
461   afx                                 27    70.38%
462   members                             27    70.41%
463   main                                27    70.44%
464   infrastructure                      27    70.46%
465   flow                                27    70.49%
466   rental                              27    70.52%
467   held                                27    70.55%
468   device                              27    70.57%
469   application                         27    70.60%
470   packaging                           27    70.63%
471   telecom                             27    70.66%
472   strategic                           27    70.69%
473   launch                              27    70.71%
474   transfer                            27    70.74%
475   any                                 27    70.77%
476   who                                 27    70.80%
477   analysis                            26    70.82%
478   technologies                        26    70.85%
479   aspocomp                            26    70.88%
480   index                               26    70.90%
481   higher                              26    70.93%
482   tonnes                              26    70.96%
483   published                           26    70.98%
484   bn                                  26    71.01%
485   using                               26    71.04%
486   managing                            26    71.06%
487   wednesday                           26    71.09%
488   aim                                 26    71.12%
489   operators                           26    71.14%
490   holding                             26    71.17%
491   executive                           26    71.20%
492   logistics                           26    71.22%
493   ahlstrom                            26    71.25%
494   employs                             26    71.28%
495   large                               26    71.30%
496   head                                26    71.33%
497   scanfil                             26    71.36%
498   excluding                           26    71.38%
499   componenta                          25    71.41%
500   incap                               25    71.44%
501   base                                25    71.46%
502   property                            25    71.49%
503   yesterday                           25    71.51%
504   manager                             25    71.54%
505   cramo                               25    71.56%
506   rapala                              25    71.59%
507   interest                            25    71.62%
508   partner                             25    71.64%
509   elisa                               25    71.67%
510   long                                25    71.69%
511   i                                   25    71.72%
512   chief                               25    71.74%
513   different                           25    71.77%
514   established                         25    71.80%
515   uk                                  25    71.82%
516   close                               25    71.85%
517   combined                            25    71.87%
518   pharmaceutical                      25    71.90%
519   content                             25    71.92%
520   beer                                24    71.95%
521   shipping                            24    71.97%
522   rautaruukki                         24    72.00%
523   public                              24    72.02%
524   atria                               24    72.05%
525   acquire                             24    72.07%
526   kesko                               24    72.10%
527   maximum                             24    72.12%
528   six                                 24    72.15%
529   respectively                        24    72.17%
530   activities                          24    72.19%
531   ago                                 24    72.22%
532   okmetic                             24    72.24%
533   outotec                             24    72.27%
534   government                          24    72.29%
535   existing                            24    72.32%
536   scheduled                           24    72.34%
537   beginning                           24    72.37%
538   facilities                          24    72.39%
539   germany                             24    72.42%
540   planning                            24    72.44%
541   tikkurila                           24    72.47%
542   details                             24    72.49%
543   decision                            24    72.52%
544   sq                                  24    72.54%
545   good                                24    72.56%
546   glass                               24    72.59%
547   glaston                             24    72.61%
548   provided                            24    72.64%
549   remain                              24    72.66%
550   consumers                           24    72.69%
551   key                                 24    72.71%
552   them                                24    72.74%
553   disclosed                           24    72.76%
554   portfolio                           23    72.79%
555   developing                          23    72.81%
556   covers                              23    72.83%
557   digital                             23    72.86%
558   operates                            23    72.88%
559   but                                 23    72.90%
560   aldata                              23    72.93%
561   full                                23    72.95%
562   brands                              23    72.97%
563   tuesday                             23    73.00%
564   site                                23    73.02%
565   deliveries                          23    73.05%
566   continued                           23    73.07%
567   pohjola                             23    73.09%
568   providing                           23    73.12%
569   cover                               23    73.14%
570   phones                              23    73.16%
571   quality                             23    73.19%
572   investors                           23    73.21%
573   state                               23    73.23%
574   if                                  23    73.26%
575   funds                               23    73.28%
576   venture                             23    73.31%
577   cut                                 23    73.33%
578   move                                22    73.35%
579   electronic                          22    73.37%
580   improve                             22    73.40%
581   closed                              22    73.42%
582   went                                22    73.44%
583   handset                             22    73.47%
584   offers                              22    73.49%
585   generated                           22    73.51%
586   invest                              22    73.53%
587   broadband                           22    73.56%
588   konecranes                          22    73.58%
589   marimekko                           22    73.60%
590   fixed                               22    73.62%
591   because                             22    73.65%
592   outokumpu                           22    73.67%
593   poland                              22    73.69%
594   businesses                          22    73.71%
595   fund                                22    73.74%
596   fortum                              22    73.76%
597   experience                          22    73.78%
598   subscription                        22    73.80%
599   operator                            22    73.83%
600   india                               22    73.85%
601   enable                              22    73.87%
602   resources                           22    73.89%
603   control                             22    73.92%
604   consumer                            22    73.94%
605   square                              21    73.96%
606   raw                                 21    73.98%
607   estimates                           21    74.00%
608   life                                21    74.03%
609   within                              21    74.05%
610   thursday                            21    74.07%
611   platform                            21    74.09%
612   planned                             21    74.11%
613   options                             21    74.13%
614   included                            21    74.16%
615   become                              21    74.18%
616   stores                              21    74.20%
617   video                               21    74.22%
618   properties                          21    74.24%
619   structures                          21    74.26%
620   tekla                               21    74.29%
621   versus                              21    74.31%
622   kone                                21    74.33%
623   bridge                              21    74.35%
624   material                            21    74.37%
625   located                             21    74.39%
626   administration                      21    74.41%
627   recently                            21    74.44%
628   improved                            21    74.46%
629   natural                             21    74.48%
630   makes                               21    74.50%
631   magazine                            21    74.52%
632   growing                             20    74.54%
633   team                                20    74.56%
634   paid                                20    74.58%
635   users                               20    74.60%
636   clients                             20    74.63%
637   liters                              20    74.65%
638   cargo                               20    74.67%
639   siemens                             20    74.69%
640   entire                              20    74.71%
641   investor                            20    74.73%
642   access                              20    74.75%
643   tehtaat                             20    74.77%
644   meat                                20    74.79%
645   segment                             20    74.81%
646   another                             20    74.83%
647   points                              20    74.85%
648   nasdaq                              20    74.87%
649   bought                              20    74.89%
650   build                               20    74.91%
651   raisio                              20    74.93%
652   enables                             20    74.95%
653   owner                               20    74.97%
654   small                               20    75.00%
655   monday                              20    75.02%
656   temporary                           20    75.04%
657   london                              20    75.06%
658   summer                              20    75.08%
659   automation                          20    75.10%
660   asia                                20    75.12%
661   present                             20    75.14%
662   gas                                 20    75.16%
663   upm                                 20    75.18%
664   restructuring                       20    75.20%
665   private                             20    75.22%
666   espoo                               20    75.24%
667   printing                            20    75.26%
668   telecommunications                  19    75.28%
669   holdings                            19    75.30%
670   fair                                19    75.32%
671   clothing                            19    75.34%
672   consolidated                        19    75.36%
673   park                                19    75.38%
674   talvivaara                          19    75.40%
675   carried                             19    75.42%
676   owned                               19    75.44%
677   announcement                        19    75.46%
678   subscribed                          19    75.48%
679   trading                             19    75.50%
680   metal                               19    75.52%
681   changes                             19    75.54%
682   structure                           19    75.56%
683   change                              19    75.58%
684   vaahto                              19    75.59%
685   ramirent                            19    75.61%
686   machines                            19    75.63%
687   expansion                           19    75.65%
688   outlook                             19    75.67%
689   fiscal                              19    75.69%
690   effect                              19    75.71%
691   name                                19    75.73%
692   listed                              19    75.75%
693   way                                 19    75.77%
694   assets                              19    75.79%
695   aims                                19    75.81%
696   shopping                            19    75.83%
697   wood                                19    75.85%
698   jobs                                19    75.87%
699   responsible                         19    75.89%
700   below                               19    75.91%
701   pay                                 19    75.93%
702   working                             18    75.94%
703   representing                        18    75.96%
704   rise                                18    75.98%
705   reporting                           18    76.00%
706   lead                                18    76.02%
707   national                            18    76.04%
708   so                                  18    76.06%
709   b                                   18    76.07%
710   agreements                          18    76.09%
711   slightly                            18    76.11%
712   operational                         18    76.13%
713   communication                       18    76.15%
714   industries                          18    76.17%
715   south                               18    76.19%
716   digia                               18    76.20%
717   tools                               18    76.22%
718   installation                        18    76.24%
719   vaisala                             18    76.26%
720   lines                               18    76.28%
721   mainly                              18    76.30%
722   panostaja                           18    76.31%
723   latest                              18    76.33%
724   week                                18    76.35%
725   complete                            18    76.37%
726   alexandria                          18    76.39%
727   patent                              18    76.41%
728   home                                18    76.43%
729   factory                             18    76.44%
730   five                                18    76.46%
731   making                              18    76.48%
732   house                               18    76.50%
733   space                               18    76.52%
734   mr                                  18    76.54%
735   suomen                              18    76.56%
736   cencorp                             18    76.57%
737   given                               18    76.59%
738   am                                  18    76.61%
739   banks                               18    76.63%
740   raute                               18    76.65%
741   analyst                             18    76.67%
742   france                              18    76.68%
743   right                               18    76.70%
744   persons                             18    76.72%
745   vice                                18    76.74%
746   concerning                          18    76.76%
747   technopolis                         17    76.78%
748   daily                               17    76.79%
749   talentum                            17    76.81%
750   machine                             17    76.83%
751   manufacture                         17    76.85%
752   revenues                            17    76.86%
753   remaining                           17    76.88%
754   return                              17    76.90%
755   pension                             17    76.92%
756   port                                17    76.93%
757   norway                              17    76.95%
758   best                                17    76.97%
759   corp                                17    76.99%
760   equity                              17    77.00%
761   member                              17    77.02%
762   owns                                17    77.04%
763   eastern                             17    77.06%
764   comptel                             17    77.07%
765   wireless                            17    77.09%
766   goods                               17    77.11%
767   few                                 17    77.13%
768   olvi                                17    77.14%
769   partners                            17    77.16%
770   efficiency                          17    77.18%
771   shareholder                         17    77.20%
772   told                                17    77.21%
773   outside                             17    77.23%
774   r                                   17    77.25%
775   date                                17    77.27%
776   starting                            17    77.28%
777   japan                               17    77.30%
778   able                                17    77.32%
779   above                               17    77.34%
780   states                              17    77.35%
781   narrowed                            17    77.37%
782   low                                 17    77.39%
783   northern                            17    77.41%
784   banking                             17    77.42%
785   method                              17    77.44%
786   you                                 17    77.46%
787   important                           17    77.48%
788   spring                              17    77.49%
789   treatment                           17    77.51%
790   develop                             16    77.53%
791   financing                           16    77.54%
792   core                                16    77.56%
793   strengthen                          16    77.58%
794   came                                16    77.59%
795   almost                              16    77.61%
796   department                          16    77.63%
797   biohit                              16    77.64%
798   moscow                              16    77.66%
799   lemminkainen                        16    77.67%
800   sponda                              16    77.69%
801   electricity                         16    77.71%
802   continuing                          16    77.72%
803   rate                                16    77.74%
804   declined                            16    77.76%
805   domestic                            16    77.77%
806   various                             16    77.79%
807   nyse                                16    77.81%
808   register                            16    77.82%
809   economic                            16    77.84%
810   later                               16    77.86%
811   do                                  16    77.87%
812   back                                16    77.89%
813   stockholm                           16    77.90%
814   operation                           16    77.92%
